Tkin     log10(dens)     ratio
 1.000e+01  3.000e+00  5.372e+00 
 1.000e+01  3.400e+00  4.782e+00 
 1.000e+01  3.800e+00  3.967e+00 
 1.000e+01  4.200e+00  3.056e+00 
 1.000e+01  4.600e+00  2.267e+00 
 1.000e+01  5.000e+00  1.749e+00 
 1.000e+01  5.400e+00  1.497e+00 
 1.000e+01  5.800e+00  1.399e+00 
 1.000e+01  6.200e+00  1.361e+00 
 1.000e+01  6.600e+00  1.348e+00 
 1.000e+01  7.000e+00  1.342e+00 
 1.225e+01  3.000e+00  4.702e+00 
 1.225e+01  3.400e+00  4.157e+00 
 1.225e+01  3.800e+00  3.417e+00 
 1.225e+01  4.200e+00  2.620e+00 
 1.225e+01  4.600e+00  1.948e+00 
 1.225e+01  5.000e+00  1.517e+00 
 1.225e+01  5.400e+00  1.314e+00 
 1.225e+01  5.800e+00  1.237e+00 
 1.225e+01  6.200e+00  1.209e+00 
 1.225e+01  6.600e+00  1.199e+00 
 1.225e+01  7.000e+00  1.194e+00 
 1.500e+01  3.000e+00  4.200e+00 
 1.500e+01  3.400e+00  3.684e+00 
 1.500e+01  3.800e+00  3.010e+00 
 1.500e+01  4.200e+00  2.302e+00 
 1.500e+01  4.600e+00  1.718e+00 
 1.500e+01  5.000e+00  1.349e+00 
 1.500e+01  5.400e+00  1.179e+00 
 1.500e+01  5.800e+00  1.117e+00 
 1.500e+01  6.200e+00  1.095e+00 
 1.500e+01  6.600e+00  1.086e+00 
 1.500e+01  7.000e+00  1.083e+00 
